Date : 2021-10-07 15:26:43
Directory : r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src
Total : 75 files,  9564 codes, 386 comments, 500 blanks, all 10450 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\index.js                               | JavaScript |         18 |          0 |          4 |         22 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\app.js                         | JavaScript |         44 |          0 |          5 |         49 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\permission.js                  | JavaScript |         46 |         14 |          5 |         65 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\settings.js                    | JavaScript |         25 |          1 |          6 |         32 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\user.js                        | JavaScript |         86 |          5 |         13 |        104 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\element-ui.scss                       | SCSS       |         35 |          5 |         10 |         50 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\index.scss                            | SCSS       |         54 |          1 |         11 |         66 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\mixin.scss                            | SCSS       |         24 |          0 |          5 |         29 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\sidebar.scss                          | SCSS       |        180 |          6 |         41 |        227 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\transition.scss                       | SCSS       |         35 |          4 |         10 |         49 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\variables.scss                        | SCSS       |         18 |          3 |          5 |         26 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\auth.js                                | JavaScript |         11 |          0 |          5 |         16 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\get-page-title.js                      | JavaScript |          8 |          0 |          3 |         11 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\index.js                               | JavaScript |         88 |         23 |          7 |        118 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\request.js                             | JavaScript |         63 |         10 |          8 |         81 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\validate.js                            | JavaScript |          7 |         11 |          3 |         21 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\404.vue                                | Vue.js     |        225 |          0 |          4 |        229 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\all-article.vue                | Vue.js     |        434 |          1 |         10 |        445 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\all-deleted.vue                | Vue.js     |        488 |          2 |         10 |        500 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\personal-article.vue           | Vue.js     |        415 |          1 |         10 |        426 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\personal-deleted.vue           | Vue.js     |        482 |          2 |         10 |        494 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\all-comment.vue                | Vue.js     |        309 |          1 |         10 |        320 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\comment-posted.vue             | Vue.js     |        295 |          1 |         10 |        306 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\comment-received.vue           | Vue.js     |        309 |          1 |         10 |        320 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\dashboard\index.vue                    | Vue.js     |        217 |          0 |         17 |        234 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\index\article.vue                      | Vue.js     |        506 |         11 |         27 |        544 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\index\index.vue                        | Vue.js     |        401 |          8 |         19 |        428 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\login\index.vue                        | Vue.js     |        195 |          6 |          6 |        207 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\settings\personal-setting.vue          | Vue.js     |        248 |          1 |          6 |        255 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\settings\process.vue                   | Vue.js     |         34 |          0 |          1 |         35 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\user\user-add.vue                      | Vue.js     |         10 |          0 |          4 |         14 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\user\user.vue                          | Vue.js     |        318 |          2 |         10 |        330 |
| r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\write\write.vue                        | Vue.js     |        101 |          1 |         10 |        112 |
| Total                                                                                      |            |      9,564 |        386 |        500 |     10,450 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
