"filename", "language", "XML", "JavaScript", "YAML", "SCSS", "Vue.js", "CSS", "comment", "blank", "total"
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\permission.js", "JavaScript", 0, 58, 0, 0, 0, 0, 16, 9, 83
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\router\index.js", "JavaScript", 0, 158, 0, 0, 0, 0, 7, 19, 184
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\settings.js", "JavaScript", 0, 5, 0, 0, 0, 0, 8, 4, 17
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\getters.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 4, 22
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\app.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 5, 49
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\permission.js", "JavaScript", 0, 46, 0, 0, 0, 0, 14, 5, 65
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\settings.js", "JavaScript", 0, 25, 0, 0, 0, 0, 1, 6, 32
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\store\modules\user.js", "JavaScript", 0, 86, 0, 0, 0, 0, 5, 13, 104
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\element-ui.scss", "SCSS", 0, 0, 0, 35, 0, 0, 5, 10, 50
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\index.scss", "SCSS", 0, 0, 0, 54, 0, 0, 1, 11, 66
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\mixin.scss", "SCSS", 0, 0, 0, 24, 0, 0, 0, 5, 29
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\sidebar.scss", "SCSS", 0, 0, 0, 180, 0, 0, 6, 41, 227
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\transition.scss", "SCSS", 0, 0, 0, 35, 0, 0, 4, 10, 49
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\styles\variables.scss", "SCSS", 0, 0, 0, 18, 0, 0, 3, 5, 26
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\auth.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\get-page-title.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\index.js", "JavaScript", 0, 88, 0, 0, 0, 0, 23, 7, 118
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\request.js", "JavaScript", 0, 63, 0, 0, 0, 0, 10, 8, 81
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\utils\validate.js", "JavaScript", 0, 7, 0, 0, 0, 0, 11, 3, 21
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\404.vue", "Vue.js", 0, 0, 0, 0, 225, 0, 0, 4, 229
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\all-article.vue", "Vue.js", 0, 0, 0, 0, 434, 0, 1, 10, 445
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\all-deleted.vue", "Vue.js", 0, 0, 0, 0, 488, 0, 2, 10, 500
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\personal-article.vue", "Vue.js", 0, 0, 0, 0, 415, 0, 1, 10, 426
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\article\personal-deleted.vue", "Vue.js", 0, 0, 0, 0, 482, 0, 2, 10, 494
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\all-comment.vue", "Vue.js", 0, 0, 0, 0, 309, 0, 1, 10, 320
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\comment-posted.vue", "Vue.js", 0, 0, 0, 0, 295, 0, 1, 10, 306
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\comment\comment-received.vue", "Vue.js", 0, 0, 0, 0, 309, 0, 1, 10, 320
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\dashboard\index.vue", "Vue.js", 0, 0, 0, 0, 217, 0, 0, 17, 234
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\index\article.vue", "Vue.js", 0, 0, 0, 0, 506, 0, 11, 27, 544
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\index\index.vue", "Vue.js", 0, 0, 0, 0, 401, 0, 8, 19, 428
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\login\index.vue", "Vue.js", 0, 0, 0, 0, 195, 0, 6, 6, 207
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\settings\personal-setting.vue", "Vue.js", 0, 0, 0, 0, 248, 0, 1, 6, 255
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\settings\process.vue", "Vue.js", 0, 0, 0, 0, 34, 0, 0, 1, 35
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\user\user-add.vue", "Vue.js", 0, 0, 0, 0, 10, 0, 0, 4, 14
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\user\user.vue", "Vue.js", 0, 0, 0, 0, 318, 0, 2, 10, 330
"r:\GITHUB\JancoBlog\BackEnd\jancoblogback\src\views\write\write.vue", "Vue.js", 0, 0, 0, 0, 101, 0, 1, 10, 112
"Total", "-", 11, 3371, 5, 346, 5829, 2, 386, 500, 10450
